Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
1,C_1_M_1,org.apache.commons.math3.analysis.differentiation.DSCompilerTest::testSize,0,Modified,8,15,0.266666667,0.002440745,6549,0,0,0.266666667
1,C_2_M_1,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest::testCreateConstant,0,New,6,19,0.157894737,5.31E-04,6712,0.052631579,0,0.157894737
1,C_2_M_2,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest::testReciprocal,0,Modified,9,28,0.392857143,0.006762173,7245,0.035714286,0,0.392857143
1,C_2_M_3,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest::testPowDoubleDS,0,New,42,41,0.463414634,0.009181652,8324,0.048780488,0,0.463414634
1,C_2_M_4,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest::testLog,0,Modified,12,17,0.529411765,0.005872006,6624,0,0,0.529411765
1,C_3_M_1,org.apache.commons.math3.analysis.polynomials.PolynomialsUtilsTest::testJacobiEvaluationAt1,0,Modified,10,30,0.6,0.010658013,7382,0,0,0.6
1,C_4_M_1,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testFit01,0,New,6,130,0.530769231,0.025543912,20653,0.015384615,0,0.530769231
1,C_4_M_2,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testWithMaxIterations1,0,New,8,114,0.535087719,0.024531653,18240,0.035087719,0,0.535087719
1,C_4_M_3,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testWithMaxIterations2,0,New,5,115,0.530434783,0.02410386,18390,0.034782609,0,0.530434783
1,C_4_M_4,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testWithStartPoint,0,New,7,113,0.539823009,0.024681326,18090,0.026548673,0,0.539823009
1,C_4_M_5,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testFit02,0,New,2,13,0.230769231,0.00248054,6477,0,0,0.230769231
1,C_4_M_6,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testFit03,0,New,3,20,0.3,0.002424132,6760,0.1,0,0.3
1,C_4_M_7,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testFit04,0,New,6,123,0.512195122,0.024792048,19590,0.016260163,0,0.512195122
1,C_4_M_8,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testFit05,0,New,6,119,0.495798319,0.024509936,18990,0.016806723,0,0.495798319
1,C_4_M_9,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testFit06,0,New,6,123,0.512195122,0.024792048,19590,0.016260163,0,0.512195122
1,C_4_M_10,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testFit07,0,New,6,119,0.495798319,0.024509936,18990,0.016806723,0,0.495798319
1,C_4_M_11,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testMath519,0,New,9,124,0.516129032,0.024687076,19741,0.016129032,0,0.516129032
1,C_4_M_12,org.apache.commons.math3.fitting.GaussianCurveFitterTest::testMath798,0,New,12,121,0.520661157,0.025081441,19290,0.016528926,0,0.520661157
1,C_5_M_1,org.apache.commons.math3.fitting.WeightedObservedPointsTest::testAdd1,0,New,7,12,0.5,0.002709322,6443,0.083333333,0,0.5
1,C_5_M_2,org.apache.commons.math3.fitting.WeightedObservedPointsTest::testAdd2,0,New,7,12,0.5,0.002709322,6443,0.083333333,0,0.5
1,C_5_M_3,org.apache.commons.math3.fitting.WeightedObservedPointsTest::testAdd3,0,New,6,13,0.461538462,0.002670085,6477,0.153846154,0,0.461538462
1,C_5_M_4,org.apache.commons.math3.fitting.WeightedObservedPointsTest::testClear,0,New,7,6,0.166666667,1.42E-04,6300,0.333333333,0,0.166666667
1,C_5_M_5,org.apache.commons.math3.fitting.WeightedObservedPointsTest::testToListCopy,0,New,10,6,0.166666667,1.42E-04,6300,0.333333333,0,0.166666667
1,C_6_M_1,org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizerTest::testShallowCopy,0,New,25,57,0.263157895,0.008713793,10145,0.070175439,0,0.263157895
1,C_7_M_1,org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizerTest::testShallowCopy,0,New,9,51,0.31372549,0.009264977,9420,0.058823529,0,0.31372549
1,C_8_M_1,org.apache.commons.math3.fraction.FractionTest::testDigitLimitConstructor,1,Modified,9,17,0.588235294,0.011278034,6624,0,0,0.588235294
1,C_9_M_1,org.apache.commons.math3.fraction.BigFractionTest::testDigitLimitConstructor,1,Modified,9,12,0.666666667,0.010622286,6443,0,0,0.666666667
1,C_10_M_1,org.apache.commons.math3.linear.DiagonalMatrixTest::testPreMultiplyVector,0,New,9,26,0.730769231,0.012322061,7112,0.038461538,0,0.730769231
1,C_11_M_1,org.apache.commons.math3.ml.distance.EarthMoversDistanceTest::testZero,0,New,2,4,0.25,0.005709435,6282,0.25,0,0.25
1,C_11_M_2,org.apache.commons.math3.ml.distance.EarthMoversDistanceTest::testZero2,0,New,3,4,0.25,0.005709435,6282,0.25,0,0.25
1,C_11_M_3,org.apache.commons.math3.ml.distance.EarthMoversDistanceTest::test,0,New,4,4,0.25,0.005709435,6282,0.25,0,0.25
1,C_12_M_1,org.apache.commons.math3.util.CombinatoricsUtilsTest::test0Choose0,0,New,4,5,0,0,6290,0,0,0
1,C_12_M_2,org.apache.commons.math3.util.CombinatoricsUtilsTest::testBinomialCoefficient,0,New,24,14,0.285714286,0.006152944,6512,0,0,0.285714286
1,C_12_M_3,org.apache.commons.math3.util.CombinatoricsUtilsTest::testBinomialCoefficientFail,0,New,43,15,0.333333333,0.00403511,6549,0,0,0.333333333
1,C_12_M_4,org.apache.commons.math3.util.CombinatoricsUtilsTest::testBinomialCoefficientLarge,0,New,43,19,0.368421053,0.007696597,6712,0,0,0.368421053
1,C_12_M_5,org.apache.commons.math3.util.CombinatoricsUtilsTest::testFactorial,0,New,9,7,0.285714286,0.00523786,6316,0,0,0.285714286
1,C_12_M_6,org.apache.commons.math3.util.CombinatoricsUtilsTest::testFactorialFail,0,New,22,14,0.571428571,0.013495813,6512,0,0,0.571428571
1,C_12_M_7,org.apache.commons.math3.util.CombinatoricsUtilsTest::testStirlingS2,0,New,34,4,0,0,6282,0,0,0
1,C_12_M_8,org.apache.commons.math3.util.CombinatoricsUtilsTest::testStirlingS2NegativeN,0,New,2,6,0.5,0.003174905,6300,0,0,0.5
1,C_12_M_9,org.apache.commons.math3.util.CombinatoricsUtilsTest::testStirlingS2LargeK,0,New,2,6,0.5,0.003174905,6300,0,0,0.5
1,C_12_M_10,org.apache.commons.math3.util.CombinatoricsUtilsTest::testStirlingS2Overflow,0,New,2,9,0.333333333,0.002816927,6358,0,0,0.333333333
1,C_12_M_11,org.apache.commons.math3.util.CombinatoricsUtilsTest::testCombinationsIterator,0,New,23,16,0.0625,3.03E-04,6586,0,0,0.0625
1,C_12_M_12,org.apache.commons.math3.util.CombinatoricsUtilsTest::testCombinationsIteratorFail,0,New,11,8,0.375,0.002923045,6335,0,0,0.375
1,C_13_M_1,org.apache.commons.math3.util.ArithmeticUtilsTest::testGcdConsistency,0,Modified,21,24,0.416666667,0.007276994,6986,0,0,0.416666667
2,C_1_M_1,org.apache.commons.math3.distribution.HypergeometricDistributionTest::testMath1021,1,New,10,33,0.454545455,0.011055699,7569,0,0,0.454545455
2,C_2_M_1,org.apache.commons.math3.distribution.MultivariateNormalMixtureModelDistributionTest::testNonUnitWeightSum,0,Modified,8,84,0.928571429,0.03360079,13712,0,0,0.928571429
