"","output_rank_model_time_Ver","output_rank_model_time_rankIndex","output_rank_model_time_rankIndex_sim","output_rank_model_time_rankIndex_sim_mod"
"1",1,1,1,1
"2",2,0.333333333333333,0.333333333333333,0.333333333333333
"3",3,0.166666666666667,0.166666666666667,0.25
"4",5,0.0588235294117647,0.0588235294117647,0.0588235294117647
"5",6,0.333333333333333,0.333333333333333,0.333333333333333
"6",7,0.5625,0.5625,0.5625
"7",8,1,1,1
"8",9,0.0555555555555556,0.0555555555555556,0.0555555555555556
"9",10,0.25,0.125,0.125
"10",11,0.571428571428571,0.523809523809524,0.619047619047619
"11",12,0.0344827586206897,0.0344827586206897,0.0344827586206897
"12",13,0.666666666666667,0.466666666666667,0.266666666666667
"13",14,0.0833333333333333,0.0833333333333333,0.0833333333333333
"14",15,1,1,1
"15",16,0.166666666666667,0.166666666666667,0.166666666666667
"16",17,0.0833333333333333,0.0833333333333333,0.0833333333333333
"17",18,0.666666666666667,0.666666666666667,1
"18",19,1,1,1
"19",20,1,1,1
"20",21,0.392156862745098,0.274509803921569,0.215686274509804
"21",22,0.666666666666667,0.333333333333333,0.333333333333333
"22",23,1,1,0.5
"23",24,0.0540540540540541,0.027027027027027,0.0540540540540541
"24",25,0.25,0.25,0.25
"25",26,0.0153846153846154,0.0307692307692308,0.246153846153846
