"","output_rank_ST_compiler_Ver","output_rank_ST_compiler_rankIndex","output_rank_MC_compiler_rankIndex","output_rank_CMC_compiler_rankIndex","output_rank_TM_compiler_rankIndex","output_rank_model_compiler_rankIndex","output_rank_model_compiler_rankIndex_mod"
"1",1,0.025974025974026,0.025974025974026,0.0779220779220779,0.012987012987013,0.038961038961039,0.038961038961039
"2",2,0.6,0.8,0.8,0.4,0.6,0.6
"3",3,0.625,0.625,0.4375,0.4375,0.0625,0.0625
"4",4,0.82258064516129,0.120967741935484,0.758064516129032,0.435483870967742,0.0806451612903226,0.0806451612903226
"5",5,0.939393939393939,0.212121212121212,1,0.909090909090909,0.181818181818182,0.151515151515152
"6",8,0.333333333333333,1,1,0.333333333333333,1,1
"7",9,0.454545454545455,1,0.545454545454545,0.545454545454545,0.909090909090909,0.818181818181818
"8",10,0.625,0.875,1,1,0.625,0.5
"9",12,0.5,0.6,0.7,0.3,0.3,0.3
"10",13,0.0909090909090909,0.0909090909090909,0.909090909090909,0.636363636363636,0.0909090909090909,0.727272727272727
"11",14,0.176470588235294,0.117647058823529,0.352941176470588,0.117647058823529,0.117647058823529,0.0588235294117647
"12",19,0.5,0.625,0.875,0.875,0.5,0.625
"13",23,0.0983606557377049,0.475409836065574,0.573770491803279,0.622950819672131,0.721311475409836,0.786885245901639
"14",24,0.2,1,0.4,0.4,0.8,1
"15",30,0.894736842105263,0.263157894736842,0.894736842105263,0.473684210526316,0.263157894736842,0.263157894736842
"16",31,0.666666666666667,1,1,1,1,1
"17",32,0.2,0.2,0.4,0.2,0.4,0.6
"18",33,0.8,0.4,0.7,0.7,0.4,0.4
"19",34,0.072289156626506,0.975903614457831,0.939759036144578,0.44578313253012,0.662650602409639,0.55421686746988
"20",36,0.428571428571429,0.0714285714285714,0.928571428571429,0.428571428571429,0.0714285714285714,0.0714285714285714
"21",37,0.222222222222222,0.777777777777778,0.777777777777778,0.111111111111111,0.555555555555556,0.555555555555556
"22",38,0.6,0.85,0.85,0.4,0.7,0.7
"23",39,0.285714285714286,0.857142857142857,0.857142857142857,0.857142857142857,0.714285714285714,0.714285714285714
"24",40,0.285714285714286,0.476190476190476,0.523809523809524,0.0476190476190476,0.428571428571429,0.476190476190476
"25",42,1,0.333333333333333,1,1,0.333333333333333,0.333333333333333
"26",43,0.933333333333333,0.16,0.533333333333333,0.826666666666667,0.28,0.213333333333333
"27",44,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.333333333333333,0.333333333333333
