"","output_rank_ST_lang_Ver","output_rank_ST_lang_rankIndex","output_rank_MC_lang_rankIndex","output_rank_CMC_lang_rankIndex","output_rank_TM_lang_rankIndex","output_rank_model_lang_rankIndex","output_rank_model_lang_rankIndex_mod"
"1",2,0.5,1,1,1,0.5,0.5
"2",3,0.875,1,0.875,1,1,1
"3",4,0.76672384219554,0.797598627787307,0.767581475128645,0.836192109777015,0.326758147512864,0.334476843910806
"4",5,0.222222222222222,1,0.666666666666667,0.333333333333333,0.555555555555556,0.333333333333333
"5",6,1,0.25,1,0.5,0.25,0.25
"6",7,0.0597014925373134,0.0597014925373134,0.955223880597015,0.0149253731343284,0.134328358208955,0.104477611940299
"7",8,0.333333333333333,0.333333333333333,0.666666666666667,1,0.666666666666667,0.666666666666667
"8",9,1,1,1,1,1,1
"9",10,1,0.200704225352113,0.0105633802816901,0.954225352112676,0.98943661971831,0.98943661971831
"10",11,1,1,1,1,1,1
"11",12,0.0238095238095238,0.785714285714286,0.0238095238095238,0.642857142857143,0.785714285714286,0.714285714285714
"12",13,0.511627906976744,1,0.883720930232558,0.0232558139534884,0.13953488372093,0.13953488372093
"13",14,0.09375,0.84375,0.78125,0.0625,0.125,0.09375
"14",15,0.0101010101010101,0.0101010101010101,0.95959595959596,0.95959595959596,0.0101010101010101,0.0202020202020202
"15",16,0.0836236933797909,0.177700348432056,0.693379790940767,0.00696864111498258,0.930313588850174,0.327526132404181
"16",17,1,1,1,1,1,1
"17",18,0.0508474576271186,0.152542372881356,1,1,0.101694915254237,0.0677966101694915
"18",19,0.5,0.5,0.5,0.5,0.5,0.5
"19",20,0.257425742574257,0.663366336633663,0.0495049504950495,0.237623762376238,0.782178217821782,0.861386138613861
"20",21,0.347826086956522,0.91304347826087,1,0.956521739130435,0.130434782608696,0.0434782608695652
"21",22,0.5,0.5,0.5,0.5,0.5,0.5
"22",23,0.166666666666667,0.166666666666667,1,1,0.166666666666667,0.166666666666667
"23",24,0.0625,0.3125,0.9375,0.0625,0.1875,0.0625
"24",25,0.0689655172413793,0.96551724137931,1,1,0.517241379310345,0.482758620689655
"25",26,0.6,0.5,0.966666666666667,0.966666666666667,0.533333333333333,0.633333333333333
"26",27,0.103448275862069,0.206896551724138,1,0.0689655172413793,0.0689655172413793,0.0344827586206897
"27",28,0.5,0.833333333333333,1,1,0.666666666666667,0.666666666666667
"28",29,0.166666666666667,0.111111111111111,0.0555555555555556,0.138888888888889,1,0.944444444444444
"29",30,0.558823529411765,0.205882352941176,0.470588235294118,0.294117647058824,0.176470588235294,0.382352941176471
"30",31,0.418181818181818,0.6,0.290909090909091,0.709090909090909,0.581818181818182,0.618181818181818
"31",32,1,1,1,1,1,1
"32",33,1,1,1,1,1,1
"33",34,0.262295081967213,0.0163934426229508,0.377049180327869,0.524590163934426,0.0163934426229508,0.0327868852459016
"34",35,0.4,0.733333333333333,0.755555555555556,0.0444444444444444,0.155555555555556,0.155555555555556
"35",36,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333
"36",37,0.333333333333333,1,0.666666666666667,0.333333333333333,1,1
"37",38,1,0.2,1,1,0.2,0.3
"38",39,0.223684210526316,0.723684210526316,0.543859649122807,0.0482456140350877,0.333333333333333,0.285087719298246
"39",40,0.0769230769230769,0.923076923076923,0.884615384615385,0.615384615384615,0.192307692307692,0.0384615384615385
"40",41,0.115853658536585,0.50609756097561,0.646341463414634,0.152439024390244,0.134146341463415,0.134146341463415
"41",42,1,1,1,1,1,1
"42",44,0.6,1,1,1,0.8,0.6
"43",45,0.315789473684211,0.964912280701754,0.912280701754386,0.0350877192982456,0.12280701754386,0.12280701754386
"44",46,1,1,1,0.285714285714286,0.285714285714286,0.285714285714286
"45",47,0.5,0.257575757575758,0.96969696969697,0.181818181818182,0.0303030303030303,0.0303030303030303
"46",48,1,0.5,1,0.357142857142857,0.0714285714285714,0.0714285714285714
"47",50,0.0909090909090909,0.272727272727273,0.909090909090909,0.909090909090909,0.0909090909090909,0.0909090909090909
"48",51,1,1,1,1,1,1
"49",52,0.0952380952380952,0.142857142857143,1,0.333333333333333,0.0476190476190476,0.0476190476190476
"50",53,0.05,0.8,1,1,0.3,0.05
"51",54,1,1,1,1,1,1
"52",55,0.0434782608695652,0.91304347826087,0.978260869565217,0.978260869565217,0.717391304347826,0.673913043478261
"53",56,1,1,1,1,1,1
"54",58,0.666666666666667,1,0.333333333333333,0.333333333333333,1,1
"55",59,1,1,0.8,0.8,0.6,0.6
"56",60,1,1,1,1,1,1
"57",61,0.5,0.5,0.5,0.5,0.5,0.5
"58",62,0.75,0.0833333333333333,0.75,0.166666666666667,0.333333333333333,0.25
"59",63,0.4,0.533333333333333,1,1,0.466666666666667,0.4
"60",64,0.5,0.787878787878788,0.833333333333333,0.106060606060606,0.272727272727273,0.333333333333333
