"","output_rank_ST_time_Ver","output_rank_ST_time_rankIndex","output_rank_MC_time_rankIndex","output_rank_CMC_time_rankIndex","output_rank_TM_time_rankIndex","output_rank_model_time_rankIndex","output_rank_model_time_rankIndex_mod"
"1",1,1,1,1,1,1,1
"2",2,1,0.333333333333333,1,1,0.333333333333333,0.333333333333333
"3",3,0.0416666666666667,0.291666666666667,0.0833333333333333,0.0833333333333333,0.166666666666667,0.25
"4",5,0.470588235294118,0.0588235294117647,0.764705882352941,0.0588235294117647,0.0588235294117647,0.117647058823529
"5",6,0.333333333333333,0.333333333333333,0.0555555555555556,0.722222222222222,0.333333333333333,0.333333333333333
"6",7,0.5,0.5625,0.0625,0.625,0.5625,0.5625
"7",8,1,1,1,1,1,1
"8",9,0.0555555555555556,0.944444444444444,0.944444444444444,0.944444444444444,0.0555555555555556,0.0555555555555556
"9",10,0.25,0.125,0.875,0.375,0.25,0.125
"10",11,0.19047619047619,0.761904761904762,0.523809523809524,1,0.571428571428571,0.619047619047619
"11",12,0.137931034482759,0.0344827586206897,0.241379310344828,0.172413793103448,0.0344827586206897,0.0344827586206897
"12",13,0.466666666666667,0.466666666666667,0.8,1,0.666666666666667,0.666666666666667
"13",14,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333
"14",15,1,1,1,1,1,1
"15",16,0.5,0.0833333333333333,0.333333333333333,0.5,0.166666666666667,0.166666666666667
"16",17,0.25,0.0833333333333333,1,0.333333333333333,0.0833333333333333,0.0833333333333333
"17",18,1,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"18",19,0.6,1,0.6,0.6,1,1
"19",20,0.25,1,1,1,1,1
"20",21,0.235294117647059,0.784313725490196,0.96078431372549,0.686274509803922,0.392156862745098,0.392156862745098
"21",22,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667
"22",23,0.5,1,0.5,1,1,0.5
"23",24,0.756756756756757,0.027027027027027,0.108108108108108,0.756756756756757,0.0540540540540541,0.0540540540540541
"24",25,0.25,0.25,0.5,0.5,0.25,0.25
"25",26,0.0153846153846154,0.261538461538462,0.723076923076923,0.661538461538462,0.0153846153846154,0.0923076923076923
