Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM
64,C_1_M_1,org.apache.commons.lang.LocaleUtilsTest::testLanguagesByCountry,0,Modified,5,6,0,0,6,0,0
64,C_2_M_1,org.apache.commons.lang.StringEscapeUtilsTest::testUnescapeHexCharsHtml,0,Modified,11,13,0,0,13,0,0
64,C_3_M_1,org.apache.commons.lang.RandomStringUtilsTest::testRandomStringUtils,0,Modified,66,14,0,0,14,0,0
64,C_4_M_1,org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_classloader_equal,0,New,12,10,0,0,10,0,0
64,C_4_M_2,org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_classloader_different,0,New,12,10,0,0,10,0,0
64,C_4_M_3,org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_nonEnumType,0,New,6,12,0,0,12,0,0
64,C_4_M_4,org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_otherEnumType,1,New,6,12,0,0,12,0,0
64,C_4_M_5,org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_otherType,0,New,6,11,0,0,11,0,0
64,C_4_M_6,org.apache.commons.lang.enums.ValuedEnumTest::testCompareTo_null,0,New,6,11,0,0,11,0,0
64,C_4_M_7,org.apache.commons.lang.enums.ValuedEnumTest::testEquals_classloader_equal,0,New,12,10,0,0,10,0,0
64,C_4_M_8,org.apache.commons.lang.enums.ValuedEnumTest::testEquals_classloader_different,0,New,12,10,0,0,10,0,0
64,C_5_M_1,org.apache.commons.lang.enums.EnumEqualsTest::testEquals_classloader_equal,0,New,12,9,0,0,9,0,0
64,C_5_M_2,org.apache.commons.lang.enums.EnumEqualsTest::testEquals_classloader_different,0,New,12,9,0,0,9,0,0
64,C_5_M_3,org.apache.commons.lang.enums.EnumEqualsTest::testCompareTo,0,New,31,11,0,0,11,0.090909091,0
64,C_6_M_1,org.apache.commons.lang.exception.ExceptionUtilsTestCase::testGetCause_Throwable,0,Modified,10,14,0,0,14,0,0
64,C_6_M_2,org.apache.commons.lang.exception.ExceptionUtilsTestCase::testGetRootCause_Throwable,0,Modified,8,16,0,0,16,0,0
64,C_6_M_3,org.apache.commons.lang.exception.ExceptionUtilsTestCase::testGetThrowableCount_Throwable,0,Modified,8,16,0,0,16,0,0
64,C_6_M_4,org.apache.commons.lang.exception.ExceptionUtilsTestCase::testGetThrowables_Throwable_recursiveCause,0,Modified,6,14,0,0,14,0,0
64,C_6_M_5,org.apache.commons.lang.exception.ExceptionUtilsTestCase::testGetThrowableList_Throwable_recursiveCause,0,Modified,6,13,0,0,13,0,0
64,C_7_M_1,org.apache.commons.lang.text.StrTokenizerTest::test1,0,Modified,13,86,0,0,86,0.058139535,0
64,C_7_M_2,org.apache.commons.lang.text.StrTokenizerTest::test2,0,Modified,13,86,0,0,86,0.058139535,0
64,C_7_M_3,org.apache.commons.lang.text.StrTokenizerTest::test3,0,Modified,13,86,0,0,86,0.058139535,0
64,C_7_M_4,org.apache.commons.lang.text.StrTokenizerTest::test4,0,Modified,13,85,0,0,85,0.058823529,0
64,C_7_M_5,org.apache.commons.lang.text.StrTokenizerTest::test5,0,Modified,14,87,0,0,87,0.057471264,0
64,C_7_M_6,org.apache.commons.lang.text.StrTokenizerTest::test6,0,Modified,22,89,0,0,89,0.078651685,0
64,C_7_M_7,org.apache.commons.lang.text.StrTokenizerTest::test7,0,Modified,13,83,0,0,83,0.060240964,0
64,C_7_M_8,org.apache.commons.lang.text.StrTokenizerTest::test8,0,Modified,13,82,0,0,82,0.06097561,0
64,C_7_M_9,org.apache.commons.lang.text.StrTokenizerTest::testListArray,0,New,7,38,0,0,38,0.157894737,0
64,C_7_M_10,org.apache.commons.lang.text.StrTokenizerTest::testGetContent,0,Modified,8,19,0,0,19,0.210526316,0
64,C_7_M_11,org.apache.commons.lang.text.StrTokenizerTest::testToString,0,New,5,39,0,0,39,0.179487179,0
64,C_8_M_1,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceSimple,0,New,2,57,0,0,57,0.50877193,0
64,C_8_M_2,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceSolo,0,New,2,48,0,0,48,0.5,0
64,C_8_M_3,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceNoVariables,0,New,2,27,0,0,27,0.555555556,0
64,C_8_M_4,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceNull,0,New,2,28,0,0,28,0.75,0
64,C_8_M_5,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceEmpty,0,New,2,26,0,0,26,0.576923077,0
64,C_8_M_6,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceChangedMap,0,New,4,31,0,0,31,0.548387097,0
64,C_8_M_7,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceUnknownKey,0,New,2,57,0,0,57,0.50877193,0
64,C_8_M_8,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceAdjacentAtStart,0,New,5,31,0,0,31,0.548387097,0
64,C_8_M_9,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceAdjacentAtEnd,0,New,5,31,0,0,31,0.548387097,0
64,C_8_M_10,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceRecursive,0,New,10,57,0,0,57,0.50877193,0
64,C_8_M_11,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceEscaping,0,New,2,59,0,0,59,0.491525424,0
64,C_8_M_12,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceSoloEscaping,0,New,2,44,0,0,44,0.477272727,0
64,C_8_M_13,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceComplexEscaping,0,New,2,59,0,0,59,0.491525424,0
64,C_8_M_14,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceNoPefixNoSuffix,0,New,2,57,0,0,57,0.50877193,0
64,C_8_M_15,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceIncompletePefix,0,New,2,57,0,0,57,0.50877193,0
64,C_8_M_16,org.apache.commons.lang.text.StrSubstitutorTest::testReplacePrefixNoSuffix,0,New,2,57,0,0,57,0.50877193,0
64,C_8_M_17,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceNoPrefixSuffix,0,New,2,57,0,0,57,0.50877193,0
64,C_8_M_18,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceEmptyKeys,0,New,2,57,0,0,57,0.50877193,0
64,C_8_M_19,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceToIdentical,0,New,4,59,0,0,59,0.491525424,0
64,C_8_M_20,org.apache.commons.lang.text.StrSubstitutorTest::testCyclicReplacement,0,New,16,34,0,0,34,0.5,0
64,C_8_M_21,org.apache.commons.lang.text.StrSubstitutorTest::testReplaceWeirdPattens,0,New,18,30,0,0,30,0.6,0
64,C_8_M_22,org.apache.commons.lang.text.StrSubstitutorTest::testReplacePartialString_noReplace,0,New,3,25,0,0,25,0.6,0
64,C_8_M_23,org.apache.commons.lang.text.StrSubstitutorTest::testConstructorNoArgs,0,New,3,25,0,0,25,0.6,0
64,C_8_M_24,org.apache.commons.lang.text.StrSubstitutorTest::testConstructorMapPrefixSuffix,0,New,5,35,0,0,35,0.542857143,0
64,C_8_M_25,org.apache.commons.lang.text.StrSubstitutorTest::testConstructorMapFull,0,New,5,35,0,0,35,0.542857143,0
64,C_8_M_26,org.apache.commons.lang.text.StrSubstitutorTest::testGetSetEscape,0,New,5,13,0,0,13,0.538461538,0
64,C_8_M_27,org.apache.commons.lang.text.StrSubstitutorTest::testGetSetPrefix,0,New,22,17,0,0,17,0.529411765,0
