Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
3,C_1_M_1,org.jfree.chart.axis.junit.ValueAxisTests::testAxisMargins,0,Modified,14,301,0.893687708,0.159388741,32341,0.046511628,1,0.893687708
3,C_11_M_1,org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset,0,Modified,13,275,0.92,0.127984115,30732,0.032727273,1,0.92
3,C_12_M_1,org.jfree.chart.plot.junit.CategoryPlotTests::testEquals,0,Modified,230,269,0.669144981,0.108319449,30366,0.055762082,0,0.669144981
3,C_12_M_2,org.jfree.chart.plot.junit.CategoryPlotTests::testCloning,0,Modified,35,111,0.720720721,0.088239567,21633,0.081081081,0,0.720720721
3,C_12_M_3,org.jfree.chart.plot.junit.CategoryPlotTests::testBug2817504,0,New,15,112,0.758928571,0.091348425,21672,0.107142857,0,0.758928571
3,C_12_M_4,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization3,0,Modified,23,656,0.867378049,0.174911773,57728,0.038109756,1,0.867378049
3,C_12_M_5,org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4,0,Modified,27,727,0.873452545,0.165527933,63976,0.037138927,1,0.873452545
3,C_12_M_6,org.jfree.chart.plot.junit.CategoryPlotTests::test1654215,0,Modified,17,553,0.858951175,0.19279644,48843,0.043399638,1,0.858951175
3,C_13_M_1,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testDrawWithNullMean,0,Modified,15,723,0.770401107,0.196936641,63624,0.044260028,0,0.770401107
3,C_14_M_1,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests::testFindRangeBounds,0,New,15,82,0.780487805,0.055605907,20565,0.182926829,0,0.780487805
3,C_15_M_1,org.jfree.chart.renderer.xy.junit.XYBarRendererTests::testFindDomainBounds,0,Modified,11,276,0.884057971,0.165126719,30793,0.050724638,0,0.884057971
3,C_16_M_1,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests::testFindRangeBounds,0,Modified,8,286,0.839160839,0.149382818,31411,0.048951049,0,0.839160839
3,C_17_M_1,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests::testFindDomainBounds,0,Modified,12,316,0.813291139,0.145410081,33271,0.044303797,0,0.813291139
3,C_17_M_2,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests::testFindRangeBounds,0,Modified,9,315,0.815873016,0.145752352,33209,0.044444444,0,0.815873016
3,C_18_M_1,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests::testNoDisplayedItem,0,Modified,19,614,0.731270358,0.150358066,54032,0.035830619,0,0.731270358
3,C_2_M_1,org.jfree.chart.axis.junit.SubCategoryAxisTests::test2275695,0,Modified,16,559,0.846153846,0.188859182,49341,0.037567084,0,0.846153846
3,C_22_M_2,org.jfree.data.junit.KeyedObjectsTests::testSortByKeyAscending,0,New,19,20,0.5,0.018772219,18634,0.2,0,0.5
3,C_22_M_3,org.jfree.data.junit.KeyedObjectsTests::testSortByKeyDescending,0,New,19,21,0.523809524,0.018251485,18658,0.19047619,0,0.523809524
3,C_22_M_4,org.jfree.data.junit.KeyedObjectsTests::testSortByValueAscending,0,New,19,20,0.5,0.018772219,18634,0.2,0,0.5
3,C_22_M_5,org.jfree.data.junit.KeyedObjectsTests::testSortByValueDescending,0,New,19,21,0.523809524,0.018251485,18658,0.19047619,0,0.523809524
3,C_23_M_1,org.jfree.data.junit.DefaultKeyedValuesTests::testCloning,0,Modified,16,13,0.615384615,0.013029146,18486,0,0,0.615384615
