v,total,rank_CMC,rank_ST,rank_MC,rank_Model
1,77,0.116883117,0.025974026,0.025974026,0.038961039
2,5,0.4,0.4,0.8,0.6
3,16,0.25,0.6875,0.625,0.0625
4,124,0.830645161,0.653225806,0.120967742,0.096774194
5,33,0.818181818,0.575757576,0.212121212,0.181818182
9,11,0.090909091,0.454545455,1,0.909090909
10,8,0.25,0.625,0.875,0.5
12,10,0.5,0.7,0.6,0.3
13,11,1,0.090909091,0.090909091,0.090909091
14,17,0.235294118,0.176470588,0.117647059,0.117647059
19,8,0.5,0.5,0.625,0.375
23,61,0.540983607,0.106557377,0.475409836,0.704918033
24,5,0.2,0.4,1,0.8
30,19,0.578947368,0.736842105,0.263157895,0.263157895
32,5,0.2,0.2,0.2,0.4
33,10,0.7,0.7,0.4,0.4
34,83,0.036144578,0.072289157,0.975903614,0.590361446
36,14,1,0.571428571,0.071428571,0.071428571
37,9,0.333333333,0.222222222,0.777777778,0.555555556
38,20,0.2,0.725,0.85,0.7
39,7,0.142857143,0.285714286,0.857142857,0.714285714
40,21,0.333333333,0.380952381,0.476190476,0.428571429
43,75,0.826666667,0.68,0.16,0.28
44,6,0.333333333,0.75,0.833333333,0.333333333
45,20,0.8,0.7,0.25,0.25
46,25,0.08,0.2,0.76,0.48
47,33,0.575757576,0.242424242,0.181818182,0.181818182
49,73,0.109589041,0.082191781,0.082191781,0.01369863
50,78,0.666666667,0.762820513,0.346153846,0.102564103
51,48,0.166666667,0.5625,0.854166667,0.0625
52,53,0.226415094,0.245283019,0.79245283,0.150943396
53,73,0.438356164,0.705479452,0.575342466,0.493150685
54,39,0.564102564,0.230769231,0.384615385,0.333333333
55,22,0.363636364,0.863636364,0.681818182,0.681818182
56,24,0.041666667,0.125,0.875,0.125
57,6,0.666666667,0.666666667,0.5,0.5
58,46,0.391304348,0.815217391,0.630434783,0.891304348
60,59,0.118644068,0.110169492,0.050847458,0.033898305
63,49,0.020408163,0.265306122,0.979591837,0.857142857
64,44,0.931818182,0.25,0.090909091,0.090909091
65,28,0.25,0.142857143,0.785714286,0.964285714
66,8,0.25,0.375,0.125,0.125
67,7,0.857142857,0.714285714,0.285714286,0.285714286
68,9,0.666666667,0.888888889,0.444444444,0.222222222
69,19,0.368421053,0.421052632,0.210526316,0.315789474
70,50,0.34,0.54,0.2,0.18
71,38,0.973684211,0.486842105,0.026315789,0.368421053
72,76,0.782894737,0.598684211,0.223684211,0.585526316
73,29,0.379310345,0.689655172,0.655172414,0.275862069
74,34,0.5,0.176470588,0.529411765,0.852941176
75,113,0.725663717,0.82300885,0.283185841,0.256637168
76,11,0.545454545,0.090909091,0.090909091,0.363636364
80,76,0.013157895,0.013157895,0.986842105,0.986842105
82,111,0.072072072,0.648648649,0.720720721,0.162162162
83,23,0.260869565,0.52173913,0.782608696,0.52173913
84,24,0.041666667,0.875,1,0.041666667
85,136,0.691176471,0.415441176,0.257352941,0.294117647
86,132,0.117424242,0.015151515,0.007575758,0.303030303
87,31,0.935483871,0.129032258,0.096774194,0.870967742
88,174,0.370689655,0.563218391,0.247126437,0.252873563
89,114,0.710526316,0.583333333,0.078947368,0.342105263
90,28,0.357142857,0.285714286,0.339285714,0.446428571
91,30,0.233333333,0.716666667,0.8,0.2
93,11,0.818181818,0.909090909,0.272727273,0.818181818
94,131,0.458015267,0.045801527,0.450381679,0.198473282
99,41,0.341463415,0.37804878,0.609756098,0.536585366
102,5,0.2,0.6,1,0.6
104,39,0.179487179,0.307692308,0.833333333,0.717948718
108,53,0.603773585,0.70754717,0.377358491,0.283018868
110,7,0.857142857,0.428571429,0.142857143,0.142857143
111,39,0.41025641,0.948717949,0.615384615,0.564102564
114,9,0.888888889,0.722222222,0.222222222,0.222222222
115,12,0.083333333,0.333333333,0.75,0.5
116,47,0.223404255,0.468085106,0.234042553,0.191489362
117,23,0.391304348,0.760869565,0.695652174,0.630434783
121,44,0.806818182,0.897727273,0.227272727,0.045454545
122,19,0.736842105,0.263157895,0.210526316,0.210526316
123,70,0.214285714,0.085714286,0.728571429,0.771428571
124,70,0.557142857,0.878571429,0.442857143,0.442857143
127,28,0.571428571,0.535714286,0.25,0.25
129,45,0.233333333,0.2,0.722222222,0.622222222
130,9,1,0.444444444,0.111111111,0.111111111
131,8,0.875,0.125,0.125,0.125
