v,total,rank_TM,rank_CMC,rank_ST,rank_MC,rank_Model
1,44,0.318181818,0.318181818,0.363636364,0.5,0.363636364
2,44,0.568181818,0.340909091,0.340909091,0.681818182,0.113636364
3,41,0.682926829,0.024390244,0.975609756,1,0.195121951
4,56,0.267857143,0.821428571,0.571428571,0.178571429,0.125
5,16,0.4375,0.0625,0.9375,1,0.625
6,13,0.076923077,0.153846154,0.307692308,0.307692308,0.153846154
8,25,0.56,0.84,0.52,0.24,0.04
9,96,0.526041667,0.208333333,0.885416667,0.8125,0.083333333
10,23,0.434782609,0.47826087,0.391304348,0.565217391,0.347826087
11,14,0.5,1,0.5,0.071428571,1
14,85,0.582352941,0.282352941,0.105882353,0.729411765,0.211764706
16,99,0.313131313,0.626262626,0.191919192,0.141414141,0.525252525
17,17,0.352941176,0.470588235,0.058823529,0.588235294,0.529411765
21,25,0.2,0.32,0.4,0.68,0.12
24,206,0.529126214,0.601941748,0.373786408,0.402912621,0.13592233
25,87,0.609195402,0.465517241,0.724137931,0.563218391,0.057471264
28,250,0.49,0.9,0.372,0.108,0.892
30,19,0.447368421,0.368421053,0.684210526,0.684210526,0.105263158
31,9,0.333333333,0.666666667,0.333333333,0.333333333,0.666666667
32,19,0.657894737,1,0.052631579,0.052631579,1
33,16,0.75,0.9375,0.375,0.125,0.875
35,55,0.263636364,0.036363636,0.863636364,0.836363636,0.018181818
36,179,0.44972067,0.092178771,0.863128492,0.899441341,0.111731844
37,131,0.122137405,0.332061069,0.320610687,0.557251908,0.13740458
42,116,0.560344828,0.974137931,0.745689655,0.034482759,0.965517241
43,191,0.251308901,0.57591623,0.602094241,0.382198953,0.445026178
45,288,0.572916667,0.057291667,0.986111111,0.942708333,0.204861111
47,94,0.563829787,0.031914894,0.89893617,0.978723404,0.20212766
52,84,0.672619048,0.517857143,0.547619048,0.482142857,0.142857143
53,147,0.503401361,0.142857143,0.544217687,0.863945578,0.530612245
54,26,0.5,0.730769231,0.884615385,0.307692308,0.461538462
61,36,0.458333333,0.472222222,0.916666667,0.569444444,0.472222222
62,92,0.538043478,0.608695652,0.336956522,0.402173913,0.554347826
65,20,0.525,0.7,0.05,0.35,0.05
66,8,0.125,0.5,0.125,0.125,0.125
