v,total,rank_CMC,rank_ST,rank_MC,rank_Model
3,39,0.179487179,0.743589744,0.846153846,0.487179487
4,210,0.919047619,0.823809524,0.085714286,0.376190476
5,218,0.389908257,0.610091743,0.610091743,0.367889908
6,101,0.574257426,0.079207921,0.267326733,0.445544554
9,13,1,0.461538462,0.076923077,0.384615385
11,5,0.5,0.2,0.8,1
12,10,1,0.9,0.1,0.1
14,11,0.363636364,0.454545455,0.363636364,0.181818182
16,44,0.113636364,0.477272727,0.670454545,0.454545455
18,22,0.318181818,0.590909091,0.454545455,0.727272727
19,90,0.9,0.266666667,0.1,0.666666667
20,6,0.166666667,0.833333333,1,1
22,24,0.25,0.083333333,0.333333333,0.083333333
23,12,0.916666667,0.666666667,0.166666667,0.166666667
24,5,0.6,0.8,1,0.7
