"","output_rank_model_jfreechart_Ver","output_rank_model_jfreechart_rankIndex","output_rank_model_jfreechart_rankIndex_sim","output_rank_model_jfreechart_rankIndex_sim_mod"
"1",3,0.461538461538462,0.0256410256410256,0.128205128205128
"2",4,0.361904761904762,0.704761904761905,0.352380952380952
"3",5,0.669724770642202,0.651376146788991,0.674311926605505
"4",6,0.435643564356436,0.0198019801980198,0.0396039603960396
"5",9,0.153846153846154,0.0769230769230769,0.0769230769230769
"6",11,1,1,0.6
"7",12,0.1,0.1,0.1
"8",14,0.181818181818182,0.272727272727273,0.181818181818182
"9",16,0.0681818181818182,0.136363636363636,0.295454545454545
"10",18,0.590909090909091,0.136363636363636,0.227272727272727
"11",19,0.288888888888889,0.0111111111111111,0.0222222222222222
"12",20,0.166666666666667,0.333333333333333,0.333333333333333
"13",22,0.0833333333333333,0.125,0.0833333333333333
"14",23,0.166666666666667,0.0833333333333333,0.0833333333333333
"15",24,0.6,1,0.8
"16",25,0.0125,0.0125,0.025
