"","output_rank_model_lang_Ver","output_rank_model_lang_rankIndex","output_rank_model_lang_rankIndex_sim","output_rank_model_lang_rankIndex_sim_mod"
"1",3,1,0.25,0.25
"2",4,0.35934819897084,0.0600343053173242,0.0403087478559177
"3",5,0.555555555555556,0.666666666666667,0.666666666666667
"4",7,0.104477611940299,0.0149253731343284,0.0149253731343284
"5",10,0.98943661971831,0.992957746478873,0.992957746478873
"6",12,0.785714285714286,0.285714285714286,0.285714285714286
"7",13,0.13953488372093,0.116279069767442,0.116279069767442
"8",14,0.125,0.125,0.125
"9",15,0.0101010101010101,0.0101010101010101,0.0101010101010101
"10",16,0.662020905923345,0.0348432055749129,0.0313588850174216
"11",18,0.101694915254237,0.0677966101694915,0.0508474576271186
"12",20,0.821782178217822,0.821782178217822,0.900990099009901
"13",21,0.260869565217391,0.173913043478261,0.0869565217391304
"14",23,0.166666666666667,0.166666666666667,0.166666666666667
"15",24,0.1875,0.0625,0.0625
"16",25,0.517241379310345,0.620689655172414,0.655172413793103
"17",26,0.533333333333333,0.0333333333333333,0.0333333333333333
"18",27,0.0689655172413793,0.0689655172413793,0.0344827586206897
"19",28,0.666666666666667,0.666666666666667,0.666666666666667
"20",29,1,1,0.944444444444444
"21",30,0.176470588235294,0.0588235294117647,0.0588235294117647
"22",31,0.581818181818182,0.581818181818182,0.727272727272727
"23",34,0.0163934426229508,0.0163934426229508,0.0491803278688525
"24",35,0.155555555555556,0.2,0.2
"25",38,0.2,0.3,0.4
"26",39,0.37280701754386,0.469298245614035,0.43859649122807
"27",40,0.230769230769231,0.230769230769231,0.230769230769231
"28",41,0.134146341463415,0.176829268292683,0.164634146341463
"29",44,0.8,0.8,0.8
"30",45,0.12280701754386,0.12280701754386,0.12280701754386
"31",46,0.285714285714286,0.142857142857143,0.142857142857143
"32",47,0.0303030303030303,0.0303030303030303,0.0303030303030303
"33",48,0.0714285714285714,0.0714285714285714,0.0714285714285714
"34",50,0.0909090909090909,0.0909090909090909,0.0909090909090909
"35",52,0.0476190476190476,0.0476190476190476,0.0476190476190476
"36",53,0.35,0.05,0.05
"37",55,0.847826086956522,0.891304347826087,0.891304347826087
"38",59,0.6,0.6,0.6
"39",62,0.333333333333333,0.166666666666667,0.0833333333333333
"40",63,0.466666666666667,0.333333333333333,0.266666666666667
"41",64,0.303030303030303,0.303030303030303,0.348484848484849
