,output_rank_model_math_Ver,output_rank_model_math_rankIndex,output_rank_model_math_rankIndex_sim,output_rank_model_math_rankIndex_sim_mod
1,1,0.363636364,0.5,0.477272727
2,2,0.136363636,0.159090909,0.159090909
3,3,0.146341463,0.048780488,0.048780488
4,4,0.107142857,0.125,0.107142857
5,5,0.625,0.4375,0.4375
6,6,0.076923077,0.076923077,0.076923077
7,8,0.04,0.08,0.08
8,9,0.083333333,0.114583333,0.114583333
9,10,0.217391304,0.347826087,0.347826087
10,11,0.071428571,0.714285714,0.714285714
11,14,0.211764706,0.223529412,0.211764706
12,16,0.393939394,0.414141414,0.535353535
13,17,0.529411765,0.352941176,0.411764706
14,21,0.16,0.44,0.44
15,24,0.072815534,0.106796117,0.097087379
16,25,0.114942529,0.137931034,0.126436782
17,28,0.88,0.912,0.892
18,30,0.263157895,0.315789474,0.263157895
19,31,0.666666667,0.111111111,0.111111111
20,32,0.052631579,0.052631579,0.052631579
21,33,0.3125,0.8125,0.8125
22,35,0.090909091,0.018181818,0.018181818
23,36,0.078212291,0.061452514,0.061452514
24,37,0.175572519,0.183206107,0.183206107
25,42,0.00862069,0.379310345,0.362068966
26,43,0.42408377,0.361256545,0.35078534
27,45,0.052083333,0.020833333,0.010416667
28,47,0.042553191,0.021276596,0.021276596
29,52,0.119047619,0.119047619,0.095238095
30,53,0.394557823,0.489795918,0.469387755
31,54,0.038461538,0.153846154,0.153846154
32,61,0.083333333,0.027777778,0.027777778
33,62,0.054347826,0.043478261,0.054347826
34,65,0.3,0.3,0.35
35,66,0.125,0.125,0.125
36,67,0.491803279,0.393442623,0.37704918
