"","output_rank_model_time_Ver","output_rank_model_time_rankIndex","output_rank_model_time_rankIndex_sim","output_rank_model_time_rankIndex_sim_mod"
"1",3,0.208333333333333,0.208333333333333,0.166666666666667
"2",5,0.0588235294117647,0.0588235294117647,0.0588235294117647
"3",6,0.333333333333333,0.333333333333333,0.333333333333333
"4",7,0.5625,0.5625,0.5625
"5",9,0.944444444444444,0.944444444444444,0.0555555555555556
"6",10,0.125,0.125,0.125
"7",11,0.714285714285714,0.666666666666667,0.571428571428571
"8",12,0.0344827586206897,0.0344827586206897,0.0344827586206897
"9",13,0.6,0.333333333333333,0.266666666666667
"10",14,0.0833333333333333,0.0833333333333333,0.0833333333333333
"11",16,0.0833333333333333,0.0833333333333333,0.0833333333333333
"12",17,0.0833333333333333,0.0833333333333333,0.0833333333333333
"13",19,1,1,1
"14",21,0.568627450980392,0.431372549019608,0.215686274509804
"15",24,0.0540540540540541,0.0540540540540541,0.0540540540540541
"16",26,0.0769230769230769,0.2,0.230769230769231
