"","output_rank_ST_jfreechart_Ver","output_rank_ST_jfreechart_rankIndex","output_rank_MC_jfreechart_rankIndex","output_rank_CMC_jfreechart_rankIndex","output_rank_TM_jfreechart_rankIndex","output_rank_model_jfreechart_rankIndex","output_rank_model_jfreechart_rankIndex_mod"
"1",3,0.743589743589744,0.846153846153846,0.615384615384615,0.692307692307692,0.461538461538462,0.384615384615385
"2",4,0.833333333333333,0.0857142857142857,0.447619047619048,0.2,0.361904761904762,0.242857142857143
"3",5,0.619266055045872,0.614678899082569,0.261467889908257,0.931192660550459,0.669724770642202,0.697247706422018
"4",6,0.0792079207920792,0.267326732673267,0.96039603960396,0.96039603960396,0.435643564356436,0.455445544554455
"5",9,0.461538461538462,0.0769230769230769,0.461538461538462,0.307692307692308,0.153846153846154,0.0769230769230769
"6",11,0.2,1,1,1,1,0.8
"7",12,0.8,0.1,0.7,0.1,0.1,0.1
"8",14,0.454545454545455,0.363636363636364,0.363636363636364,0.363636363636364,0.181818181818182,0.0909090909090909
"9",16,0.454545454545455,0.659090909090909,0.5,0.181818181818182,0.0681818181818182,0.0454545454545455
"10",18,0.590909090909091,0.454545454545455,0.0454545454545455,0.0909090909090909,0.590909090909091,0.681818181818182
"11",19,0.266666666666667,0.1,0.8,0.222222222222222,0.288888888888889,0.288888888888889
"12",20,0.833333333333333,1,1,0.166666666666667,0.166666666666667,0.166666666666667
"13",22,0.0833333333333333,0.333333333333333,0.125,0.375,0.0833333333333333,0.0833333333333333
"14",23,0.583333333333333,0.166666666666667,0.75,0.0833333333333333,0.166666666666667,0.0833333333333333
"15",24,0.8,1,0.6,0.6,0.6,0.6
"16",25,0.225,0.0125,0.4625,0.95,0.0125,0.0125
